path_length,3,5,10,15
1,4,16,512,16384
2,6,15,511,16383
3,11,16,511,16384
4,6,30,511,16383
5,1,90,509,16384
6,,140,515,16383
7,,124,521,16392
8,,55,532,16408
9,,10,1053,16378
10,,,5647,16355
11,,,23371,16349
12,,,61400,16580
13,,,106586,16993
14,,,127495,33954
15,,,105806,264282
16,,,60286,1739598
17,,,22522,7473234
18,,,4990,22374405
19,,,498,49196481
20,,,,81968214
21,,,,105373917
22,,,,105357608
23,,,,81937015
24,,,,49155640
25,,,,22340929
26,,,,7445848
27,,,,1717954
28,,,,245345
29,,,,16348
